1df36f41-e657-4037-97ab-b3b526b45c94,aha,AHA (Alphahydroxy Acid),"[{'index': 2, 'title': 'Glycolic Acid', 'alias': 'glycolic-acid'}, {'index': 33, 'title': 'Citric Acid', 'alias': 'citric-acid'}]"
8082fe3e-f7b5-463f-8f80-b684f5ef4699,aha,AHA (Alphahydroxy Acid),"[{'index': 1, 'title': 'Glycolic Acid', 'alias': 'glycolic-acid'}, {'index': 9, 'title': 'Lactic Acid', 'alias': 'lactic-acid'}, {'index': 10, 'title': 'Tartaric Acid', 'alias': 'tartaric-acid'}, {'index': 11, 'title': 'Citric Acid', 'alias': 'citric-acid'}]"
8082fe3e-f7b5-463f-8f80-b684f5ef4699,bha,BHA (Betahydroxy acid),"[{'index': 7, 'title': 'Salicylic Acid', 'alias': 'salicylic-acid'}]"
bde37789-1909-4e17-bfb2-fd1929f0dd28,aha,AHA (Alphahydroxy Acid),"[{'index': 7, 'title': 'Citric Acid', 'alias': 'citric-acid'}]"
bde37789-1909-4e17-bfb2-fd1929f0dd28,bha,BHA (Betahydroxy acid),"[{'index': 4, 'title': 'Salicylic Acid', 'alias': 'salicylic-acid'}]"
381c5b56-f1d8-4952-8a47-acd49997ac77,niacinamide,Niacinamide,"[{'index': 24, 'title': 'Niacinamide', 'alias': 'niacinamide'}]"
381c5b56-f1d8-4952-8a47-acd49997ac77,hyaluronic_acid,Hyaluronic Acid,"[{'index': 1, 'title': 'Sodium Hyaluronate', 'alias': 'sodium-hyaluronate'}, {'index': 4, 'title': 'Hydrolyzed Hyaluronic Acid', 'alias': 'hydrolyzed-hyaluronic-acid'}]"
381c5b56-f1d8-4952-8a47-acd49997ac77,aha,AHA (Alphahydroxy Acid),"[{'index': 12, 'title': 'Citric Acid', 'alias': 'citric-acid'}]"
381c5b56-f1d8-4952-8a47-acd49997ac77,vitamin,Vitamins,"[{'index': 24, 'title': 'Niacinamide', 'alias': 'niacinamide'}]"
9dcf83d2-1dfb-47d5-a843-0c884a78838e,niacinamide,Niacinamide,"[{'index': 4, 'title': 'Niacinamide', 'alias': 'niacinamide'}]"
9dcf83d2-1dfb-47d5-a843-0c884a78838e,hyaluronic_acid,Hyaluronic Acid,"[{'index': 24, 'title': 'Sodium Hyaluronate', 'alias': 'sodium-hyaluronate'}]"
9dcf83d2-1dfb-47d5-a843-0c884a78838e,vitamin,Vitamins,"[{'index': 4, 'title': 'Niacinamide', 'alias': 'niacinamide'}]"
62fe2260-37a9-48f2-ae61-59bdccca5324,hyaluronic_acid,Hyaluronic Acid,"[{'index': 20, 'title': 'Hyaluronic Acid', 'alias': 'hyaluronic-acid'}]"
6c93fd7c-b9b4-4ca3-af87-36fcd8fe1cb4,hyaluronic_acid,Hyaluronic Acid,"[{'index': 24, 'title': 'Sodium Hyaluronate', 'alias': 'sodium-hyaluronate'}, {'index': 25, 'title': 'Hydrolyzed Hyaluronic Acid', 'alias': 'hydrolyzed-hyaluronic-acid'}]"
6c93fd7c-b9b4-4ca3-af87-36fcd8fe1cb4,aha,AHA (Alphahydroxy Acid),"[{'index': 1, 'title': 'Glycolic Acid', 'alias': 'glycolic-acid'}, {'index': 9, 'title': 'Lactic Acid', 'alias': 'lactic-acid'}, {'index': 10, 'title': 'Tartaric Acid', 'alias': 'tartaric-acid'}, {'index': 11, 'title': 'Citric Acid', 'alias': 'citric-acid'}]"
6c93fd7c-b9b4-4ca3-af87-36fcd8fe1cb4,bha,BHA (Betahydroxy acid),"[{'index': 7, 'title': 'Salicylic Acid', 'alias': 'salicylic-acid'}]"
d9eab672-b7d5-4ec4-8a96-0ffd80329c22,hyaluronic_acid,Hyaluronic Acid,"[{'index': 43, 'title': 'Sodium Hyaluronate', 'alias': 'sodium-hyaluronate'}]"
d9eab672-b7d5-4ec4-8a96-0ffd80329c22,aha,AHA (Alphahydroxy Acid),"[{'index': 14, 'title': 'Citric Acid', 'alias': 'citric-acid'}]"
d9eab672-b7d5-4ec4-8a96-0ffd80329c22,bha,BHA (Betahydroxy acid),"[{'index': 11, 'title': 'Salicylic Acid', 'alias': 'salicylic-acid'}]"
50e8faf1-93c4-44cc-8681-ef2d68ac7f83,aha,AHA (Alphahydroxy Acid),"[{'index': 33, 'title': 'Citric Acid', 'alias': 'citric-acid'}]"
50e8faf1-93c4-44cc-8681-ef2d68ac7f83,vitamin,Vitamins,"[{'index': 19, 'title': 'Ascorbic Acid', 'alias': 'ascorbic-acid-vitamin-c'}]"
20d72bcc-54fd-47aa-a258-591200567cf8,aha,AHA (Alphahydroxy Acid),"[{'index': 38, 'title': 'Citric Acid.', 'alias': 'citric-acid'}]"
45c217e3-f10d-423a-8605-872820069695,aha,AHA (Alphahydroxy Acid),"[{'index': 22, 'title': 'Citric Acid', 'alias': 'citric-acid'}]"
45c217e3-f10d-423a-8605-872820069695,bha,BHA (Betahydroxy acid),"[{'index': 7, 'title': 'Salicylic Acid', 'alias': 'salicylic-acid'}]"
a523e4af-bdb0-4402-a95b-f3dc049eeb00,aha,AHA (Alphahydroxy Acid),"[{'index': 13, 'title': 'Citric Acid', 'alias': 'citric-acid'}]"
a523e4af-bdb0-4402-a95b-f3dc049eeb00,bha,BHA (Betahydroxy acid),"[{'index': 12, 'title': 'Capryloyl Salicylic Acid', 'alias': 'capryloyl-salicylic-acid'}, {'index': 14, 'title': 'Salicylic Acid', 'alias': 'salicylic-acid'}]"
885b6562-603d-445d-9972-a876b8d56ed4,niacinamide,Niacinamide,"[{'index': 4, 'title': 'Niacinamide', 'alias': 'niacinamide'}]"
885b6562-603d-445d-9972-a876b8d56ed4,aha,AHA (Alphahydroxy Acid),"[{'index': 16, 'title': 'Citric Acid', 'alias': 'citric-acid'}]"
885b6562-603d-445d-9972-a876b8d56ed4,vitamin,Vitamins,"[{'index': 4, 'title': 'Niacinamide', 'alias': 'niacinamide'}]"
d1437079-e8af-4d51-8a05-76a6b9f93a56,hyaluronic_acid,Hyaluronic Acid,"[{'index': 3, 'title': 'Sodium Hyaluronate', 'alias': 'sodium-hyaluronate'}, {'index': 9, 'title': 'Hyaluronic Acid', 'alias': 'hyaluronic-acid'}]"
66b32c34-0659-4e0c-bc6c-a7588f726d4b,hyaluronic_acid,Hyaluronic Acid,"[{'index': 6, 'title': 'Sodium Hyaluronate', 'alias': 'sodium-hyaluronate'}]"
631541f4-d128-4f75-996d-072b70049252,aha,AHA (Alphahydroxy Acid),"[{'index': 22, 'title': 'Citric Acid', 'alias': 'citric-acid'}]"
ca70597c-64a0-4600-9ace-285ca97eb6a7,aha,AHA (Alphahydroxy Acid),"[{'index': 3, 'title': 'Lactic Acid', 'alias': 'lactic-acid'}]"
